127.0.0.1 - - [20/Aug/2022:12:52:24 +0530] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1033
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
127.0.0.1 - - [20/Aug/2022:12:52:25 +0530] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/ HTTP/1.1" 200 10335
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [20/Aug/2022:12:57:01 +0530] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
